,id,company_name,job_title,location,job_link,type
283,284,Paytm,Key Account Manager- Oil & Gas- Bangalore (Yalhanka/Devanhalli/ E city/ Bagalkot/ HSR/ Malleswaram/Hebbal/Hoskote/ KR Puran/ Kengeri/Nagarbhavi/ Shivaji Nagar/Bannerghatta/ Sarjapura/ Banashankari),"Bangalore, Karnataka",https://jobs.lever.co/paytm/9740ad92-5219-4c4b-a73c-9a124fd24849,Other
284,285,Paytm,Key Account Manager- Oil& Gas -Bangalore,"Bangalore, Karnataka",https://jobs.lever.co/paytm/fd148428-bc2b-4499-9d4a-5c17dbbf8a01,Other
285,286,Paytm,Sales - Team Lead - Khammam,"Khammam, Telangana",https://jobs.lever.co/paytm/d1780148-8d3b-4020-a3ff-59979a1a27cc,Marketing
286,287,Paytm,"Sales Team Lead , Dairy  Warangal","Warangal, Telangana",https://jobs.lever.co/paytm/7714fb34-83e9-409c-8bc4-eda8270ba07d,Marketing
287,288,Paytm,Ads Sales - Manager - Noida,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/843ef940-4ab1-4401-9e2d-96c6f4191573,Marketing
288,289,Paytm,Advertising Sales Manager - Bengaluru,"Bangalore, Karnataka",https://jobs.lever.co/paytm/3cb83176-2e3e-4436-97b4-48842e645221,Marketing
289,290,Paytm,Advertising Sales Manager - Delhi,Delhi-NCR,https://jobs.lever.co/paytm/51aaf6fc-ddfe-4e3e-afdf-eb9f797c7cb0,Marketing
290,291,Paytm,Advertising Sales Manager - Mumbai,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/db85e954-b21d-4d57-95eb-fad9ea6e49c5,Marketing
291,292,Paytm,"AVP, Ad Sales","Bangalore, Karnataka / Noida, Uttar Pradesh",https://jobs.lever.co/paytm/b4ee870a-50fa-4b84-9bee-6fe1ae1da2de,Marketing
292,293,Paytm,Government Ad Sales - Kolkata/Chennai,"Kolkata, West Bengal / Chennai, Tamil Nadu",https://jobs.lever.co/paytm/015e9238-8aeb-49a6-9090-f99d2ed9bb9d,Marketing
293,294,Paytm,Government Ad Sales (Non Metro) - Pune/Chennai/Kolkata,"Pune, Maharashtra / Chennai, Tamil Nadu / Kolkata, West Bengal",https://jobs.lever.co/paytm/4aa8667f-2b04-4a97-9949-d03d60e9dbff,Marketing
294,295,Paytm,KAM - Bangalore,"Bangalore, Karnataka",https://jobs.lever.co/paytm/0768c97d-abeb-4980-9259-17fb77107cd4,Other
295,296,Paytm,KAM - Delhi/Noida,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/e6a50bab-7db5-48cb-8c0f-39ee58758ae8,Other
296,297,Paytm,KAM - Mumbai,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/3d4c58db-1871-4f96-9b9e-da2406dc2bd5,Other
297,298,Paytm,"Engineering manager -  (C++, Embedded C)","Noida, Uttar Pradesh",https://jobs.lever.co/paytm/b367d6a0-32e7-4fce-8ec9-96c57f2e1b9d,Tech
298,299,Paytm,Data Centre Engineer,"Gurugram, Haryana",https://jobs.lever.co/paytm/7ea42bf0-beee-416f-b618-1c716965ddee,Tech
299,300,Paytm,DevOps - Lead DevOps,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/da6df42a-0916-41ac-af83-548ca98b5582,Other
300,301,Paytm,Devops - Senior DevOps Engineer,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/5632667f-28fb-42fe-8bce-4aa582501c49,Tech
301,302,Paytm,MYSQL - Senior Lead DBA,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/51b8894c-a048-432c-a301-b0f19b3562a7,Other
302,303,Paytm,Data DevOps - Senior DevOps Engineer,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/518cc9cc-62fe-470c-90fd-e36df17ed7ec,Tech
303,304,Paytm,Data Engineering - Data Engineer,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/83121cb1-1ab8-4f96-aaf9-8415d1233e03,Tech
